               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053705,            0.064326,                   0,             0.73971,              0.6114,             0.70393,             0.37006,            0.047448,            0.048899,                   0,           0.0033279,           0.0033279,            0.070049
                   1,            0.045015,            0.059238,                   0,             0.80586,             0.71813,              0.8072,               0.501,            0.042309,            0.044645,                   0,           0.0065613,           0.0065613,            0.039949
                   2,            0.042536,             0.05821,                   0,             0.84017,             0.72534,             0.82761,             0.50775,            0.040237,            0.043376,                   0,           0.0096947,           0.0096947,           0.0097495
                   3,            0.041094,            0.056971,                   0,              0.8473,             0.74502,             0.83988,             0.55445,            0.038203,            0.042069,                   0,             0.00955,             0.00955,             0.00955
                   4,            0.040031,            0.055818,                   0,             0.85797,             0.74435,             0.84602,             0.57673,            0.036659,            0.041274,                   0,             0.00955,             0.00955,             0.00955
                   5,            0.039328,            0.055703,                   0,             0.85063,             0.75809,             0.85299,             0.57971,            0.036197,            0.040991,                   0,              0.0094,              0.0094,              0.0094
                   6,            0.038677,            0.054555,                   0,             0.84709,              0.7505,             0.84694,              0.5863,            0.035561,            0.041402,                   0,             0.00925,             0.00925,             0.00925
                   7,            0.038064,            0.054468,                   0,             0.84888,             0.76662,             0.85497,             0.59242,             0.03517,            0.040476,                   0,              0.0091,              0.0091,              0.0091
                   8,            0.037773,            0.054436,                   0,             0.86571,              0.7555,             0.85486,             0.59268,            0.035176,            0.040663,                   0,             0.00895,             0.00895,             0.00895
                   9,             0.03754,            0.054122,                   0,              0.8489,             0.76345,             0.85373,             0.60263,            0.034522,             0.04018,                   0,              0.0088,              0.0088,              0.0088
                  10,            0.037071,            0.053887,                   0,             0.85032,              0.7635,             0.85662,             0.60393,            0.034397,            0.041146,                   0,             0.00865,             0.00865,             0.00865
                  11,             0.03676,            0.053225,                   0,             0.84877,             0.76907,             0.85873,             0.60867,            0.034131,            0.040036,                   0,              0.0085,              0.0085,              0.0085
                  12,            0.036695,            0.053289,                   0,             0.86769,             0.75476,             0.85939,             0.61163,            0.033849,             0.03985,                   0,             0.00835,             0.00835,             0.00835
                  13,            0.036426,            0.052396,                   0,             0.85647,             0.76789,             0.85818,             0.61256,            0.033755,            0.039971,                   0,              0.0082,              0.0082,              0.0082
                  14,             0.03627,            0.053079,                   0,             0.85133,             0.76965,             0.86046,             0.61604,            0.033537,            0.039514,                   0,             0.00805,             0.00805,             0.00805
                  15,            0.036165,            0.052717,                   0,             0.86147,             0.76231,             0.86386,             0.62063,            0.033119,            0.039365,                   0,              0.0079,              0.0079,              0.0079
                  16,            0.035863,            0.052307,                   0,             0.88499,             0.75387,             0.86672,             0.62473,            0.032966,            0.038973,                   0,             0.00775,             0.00775,             0.00775
                  17,            0.035593,            0.052067,                   0,             0.87832,             0.76271,             0.87013,             0.62718,            0.032838,            0.038804,                   0,              0.0076,              0.0076,              0.0076
                  18,            0.035675,            0.052025,                   0,             0.86006,             0.77032,             0.86732,             0.62866,            0.032736,            0.038933,                   0,             0.00745,             0.00745,             0.00745
                  19,            0.035364,            0.051638,                   0,             0.87141,             0.76841,             0.86979,             0.63074,            0.032526,            0.038575,                   0,              0.0073,              0.0073,              0.0073
                  20,            0.035269,            0.051437,                   0,             0.86746,             0.76992,             0.87008,             0.63127,            0.032455,            0.038592,                   0,             0.00715,             0.00715,             0.00715
                  21,            0.034816,            0.051896,                   0,             0.86804,             0.76851,             0.87063,              0.6334,             0.03234,            0.038649,                   0,               0.007,               0.007,               0.007
                  22,            0.034913,            0.050631,                   0,               0.863,             0.77867,              0.8704,             0.63604,            0.032301,            0.038642,                   0,             0.00685,             0.00685,             0.00685
                  23,            0.034689,             0.05081,                   0,             0.87376,             0.77038,             0.87109,             0.63669,            0.032173,            0.038597,                   0,              0.0067,              0.0067,              0.0067
                  24,            0.034603,            0.050532,                   0,             0.88041,             0.76984,             0.87345,               0.639,            0.032106,            0.038501,                   0,             0.00655,             0.00655,             0.00655
                  25,            0.034415,            0.050617,                   0,             0.87791,             0.76756,             0.87155,             0.63787,            0.032041,            0.038656,                   0,              0.0064,              0.0064,              0.0064
                  26,            0.034351,            0.050645,                   0,             0.86985,             0.77362,              0.8725,             0.64008,             0.03198,            0.038464,                   0,             0.00625,             0.00625,             0.00625
                  27,            0.034198,            0.050212,                   0,             0.86646,             0.77847,             0.87308,             0.64099,            0.031893,            0.038554,                   0,              0.0061,              0.0061,              0.0061
                  28,            0.034094,            0.050107,                   0,             0.86677,             0.78055,             0.87436,             0.64177,            0.031808,            0.038518,                   0,             0.00595,             0.00595,             0.00595
                  29,            0.033832,            0.049799,                   0,             0.87111,             0.77672,             0.87349,             0.64308,            0.031771,            0.038447,                   0,              0.0058,              0.0058,              0.0058
                  30,            0.033728,            0.049821,                   0,             0.88146,             0.76965,             0.87277,             0.64422,            0.031677,             0.03867,                   0,             0.00565,             0.00565,             0.00565
                  31,            0.033557,            0.049051,                   0,             0.87044,             0.78291,             0.87451,              0.6454,            0.031617,            0.038419,                   0,              0.0055,              0.0055,              0.0055
                  32,            0.033492,            0.049067,                   0,               0.879,             0.77381,             0.87333,             0.64614,            0.031587,            0.038495,                   0,             0.00535,             0.00535,             0.00535
                  33,            0.033301,            0.049133,                   0,             0.88087,             0.77122,             0.87403,             0.64726,            0.031537,            0.038383,                   0,              0.0052,              0.0052,              0.0052
                  34,            0.033278,            0.049164,                   0,             0.86469,             0.78655,             0.87416,             0.64749,            0.031528,             0.03843,                   0,             0.00505,             0.00505,             0.00505
                  35,            0.033024,            0.048694,                   0,             0.86985,              0.7835,             0.87457,             0.64659,            0.031485,            0.038473,                   0,              0.0049,              0.0049,              0.0049
                  36,            0.033117,            0.048349,                   0,              0.8721,             0.78236,             0.87439,             0.64709,            0.031452,            0.038445,                   0,             0.00475,             0.00475,             0.00475
                  37,            0.032841,            0.047811,                   0,             0.87484,             0.78079,             0.87401,             0.64819,            0.031423,            0.038479,                   0,              0.0046,              0.0046,              0.0046
                  38,            0.032766,             0.04845,                   0,             0.87635,             0.77836,             0.87314,             0.64762,              0.0314,            0.038631,                   0,             0.00445,             0.00445,             0.00445
                  39,            0.032662,            0.047721,                   0,             0.87506,             0.77995,             0.87338,             0.64853,            0.031377,            0.038703,                   0,              0.0043,              0.0043,              0.0043
                  40,            0.032558,             0.04727,                   0,              0.8723,             0.78378,             0.87338,             0.64868,            0.031359,            0.038692,                   0,             0.00415,             0.00415,             0.00415
                  41,            0.032339,            0.047166,                   0,             0.86976,             0.78473,             0.87385,              0.6491,            0.031362,            0.038738,                   0,               0.004,               0.004,               0.004
                  42,            0.032168,              0.0467,                   0,             0.88709,             0.77136,             0.87367,             0.64848,             0.03137,            0.038772,                   0,             0.00385,             0.00385,             0.00385
                  43,            0.032226,            0.046418,                   0,             0.88496,             0.77488,              0.8738,             0.64893,            0.031375,            0.038808,                   0,              0.0037,              0.0037,              0.0037
                  44,             0.03198,            0.046442,                   0,             0.88296,             0.77617,             0.87384,             0.64901,            0.031369,            0.038836,                   0,             0.00355,             0.00355,             0.00355
                  45,             0.03194,            0.045818,                   0,             0.87355,             0.78337,             0.87309,             0.64882,            0.031376,            0.038896,                   0,              0.0034,              0.0034,              0.0034
                  46,            0.031705,            0.045954,                   0,             0.87509,             0.78163,             0.87237,             0.64886,            0.031358,            0.038949,                   0,             0.00325,             0.00325,             0.00325
                  47,            0.031692,            0.046028,                   0,             0.87634,             0.78055,             0.87251,              0.6491,            0.031351,            0.038992,                   0,              0.0031,              0.0031,              0.0031
                  48,            0.031689,            0.045891,                   0,             0.87686,             0.77916,             0.87214,               0.649,            0.031348,            0.039052,                   0,             0.00295,             0.00295,             0.00295
                  49,            0.031472,            0.045672,                   0,             0.87675,             0.77984,             0.87187,              0.6492,            0.031345,            0.039088,                   0,              0.0028,              0.0028,              0.0028
                  50,            0.031276,            0.045178,                   0,             0.87009,             0.78513,             0.87205,             0.64905,            0.031346,            0.039127,                   0,             0.00265,             0.00265,             0.00265
                  51,            0.031238,            0.045192,                   0,             0.86799,             0.78677,             0.87183,             0.64885,            0.031352,            0.039198,                   0,              0.0025,              0.0025,              0.0025
                  52,            0.031123,            0.044515,                   0,             0.86846,             0.78702,             0.87201,             0.64901,            0.031351,            0.039246,                   0,             0.00235,             0.00235,             0.00235
                  53,            0.030953,            0.045084,                   0,             0.86779,             0.78729,             0.87179,             0.64904,            0.031352,            0.039281,                   0,              0.0022,              0.0022,              0.0022
                  54,            0.030999,            0.044718,                   0,             0.86897,             0.78648,             0.87165,             0.64895,             0.03135,            0.039304,                   0,             0.00205,             0.00205,             0.00205
                  55,            0.030798,            0.044429,                   0,             0.86703,             0.78854,             0.87151,             0.64893,             0.03135,            0.039351,                   0,              0.0019,              0.0019,              0.0019
                  56,            0.030707,            0.044325,                   0,             0.86635,             0.78875,             0.87139,             0.64901,            0.031351,            0.039385,                   0,             0.00175,             0.00175,             0.00175
                  57,            0.030705,            0.044159,                   0,             0.86449,             0.79045,             0.87127,             0.64899,            0.031351,             0.03942,                   0,              0.0016,              0.0016,              0.0016
                  58,            0.030501,            0.043921,                   0,             0.87177,             0.78416,             0.87108,             0.64913,            0.031353,            0.039459,                   0,             0.00145,             0.00145,             0.00145
                  59,             0.03047,            0.043712,                   0,             0.87253,             0.78354,             0.87089,             0.64898,            0.031357,            0.039488,                   0,              0.0013,              0.0013,              0.0013
